Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BAT1,CONN-TH_MY-LR44-03-J,CONN-TH_MY-LR44-03-J,179.019034,-146.379218,180.0,top
D3,UMP1NTR,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,116.794344,-121.703206,64.44900000000001,top
D4,UMP1NTR,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,124.342345,-105.914676,64.44900000000001,top
D5,UMP1NTR,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,131.890346,-90.126146,64.44900000000001,top
D6,UMP1NTR,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,241.243724,-121.703206,-64.44900000000001,top
D7,UMP1NTR,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,233.695724,-105.914676,-64.44900000000001,top
D8,UMP1NTR,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,226.147723,-90.126146,-64.44900000000001,top
D9,UMP1NTR,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,137.83679,-176.620587,-153.131,top
J1,0906-2-15-20-75-14-11-0,0906-2-15-20-75-14-11-0,174.574034,-126.502218,0.0,top
J10,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,121.366276,-112.139867,-25.550999999999995,top
J11,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,128.914277,-96.351337,-25.550999999999995,top
J12,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,136.462278,-80.562807,-25.550999999999995,top
J13,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,136.589629,-126.862559,-41.131,top
J14,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,148.100829,-113.681426,-41.131,top
J15,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,159.612029,-100.500293,-41.131,top
J16,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,280.678386,-113.447298,12.450999999999997,top
J17,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,276.905305,-96.358885,12.450999999999997,top
J18,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,273.132225,-79.270472,12.450999999999997,top
J19,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,255.49417,-108.333751,21.711,top
J2,0906-2-15-20-75-14-11-0,0906-2-15-20-75-14-11-0,182.829034,-135.519218,0.0,top
J20,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,249.02048,-92.075174,21.711,top
J21,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,242.54679,-75.816596,21.711,top
J22,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,236.671792,-112.139867,25.550999999999995,top
J23,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,229.123791,-96.351337,25.550999999999995,top
J24,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,221.575791,-80.562807,25.550999999999995,top
J25,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,221.448439,-126.862559,41.131,top
J26,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,209.937239,-113.681426,41.131,top
J27,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,198.426039,-100.500293,41.131,top
J28,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,133.85389,-154.212891,-41.131,top
J29,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,147.292437,-171.829894,-63.131,top
J3,0906-2-15-20-75-14-11-0,0906-2-15-20-75-14-11-0,184.734034,-136.319218,0.0,top
J30,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,224.184178,-154.212891,41.131,top
J31,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,210.745632,-171.829894,63.131,top
J32,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,81.789317,-116.575931,-12.450999999999997,top
J33,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,85.562397,-99.487518,-12.450999999999997,top
J34,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,89.335478,-82.399105,-12.450999999999997,top
J35,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,106.412363,-112.134406,-21.711,top
J36,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,112.886053,-95.875829,-21.711,top
J37,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,119.359743,-79.617251,-21.711,top
J38,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,124.971525,-116.191063,-25.550999999999995,top
J39,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,132.519525,-100.402533,-25.550999999999995,top
J4,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,77.359683,-113.447298,-12.450999999999997,top
J40,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,140.067526,-84.614003,-25.550999999999995,top
J41,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,138.974323,-131.733209,-41.131,top
J42,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,150.485523,-118.552076,-41.131,top
J43,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,161.996723,-105.370943,-41.131,top
J44,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,286.013559,-114.419885,12.450999999999997,top
J45,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,282.240479,-97.331472,12.450999999999997,top
J46,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,278.467398,-80.243059,12.450999999999997,top
J47,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,260.916321,-108.435155,21.711,top
J48,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,254.442631,-92.176577,21.711,top
J49,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,247.968941,-75.918,21.711,top
J5,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,81.132763,-96.358885,-12.450999999999997,top
J50,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,242.088561,-111.877919,25.550999999999995,top
J51,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,234.54056,-96.089389,25.550999999999995,top
J52,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,226.992559,-80.300859,25.550999999999995,top
J53,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,226.595821,-125.155381,41.131,top
J54,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,215.084621,-111.974248,41.131,top
J55,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,203.573421,-98.793115,41.131,top
J56,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,136.238584,-159.083541,-41.131,top
J57,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,147.678909,-177.239205,-63.131,top
J58,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,229.33156,-152.505712,41.131,top
J59,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,214.878681,-168.318783,63.131,top
J6,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,84.905844,-79.270472,-12.450999999999997,top
J60,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,171.399034,-126.819218,-90.0,top
J61,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,186.639034,-126.819218,-90.0,top
J7,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,102.543898,-108.333751,-21.711,top
J8,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,109.017588,-92.075174,-21.711,top
J9,mill-max-3305-0-15-01-47-XX-10-0,mill-max-3305-0-15-01-47-XX-10-0,115.491278,-75.816596,-21.711,top
SW1,,power_switch,179.019034,-118.599218,90.0,top
